collect_time,air_temperature,air_humidity,soil_temperature,soil_humidity,ph_value,ec_value,nutrient,light_intensity,co2,wind_speed,rainfall,pest_count,pest_type
2024-09-27 15:28:10,26.2,95,18.1,61.88,6.1,0.20418750000000002,130.68,50.83,420.0,0.0,0.0,0,
2024-09-27 15:28:28,26.2,95,18.1,61.58,6.1,0.201390625,128.89,36.67,420.0,0.0,0.0,0,
2024-09-27 15:29:03,26.2,95,18.1,61.88,6.1,0.201390625,128.89,39.17,420.0,0.0,0.0,0,
2024-09-27 15:29:22,26.2,95,18.1,59.24,6.1,0.24284374999999997,155.42,39.17,420.0,0.0,0.0,0,
2024-09-27 15:29:45,26.2,95,18.1,31.48,6.1,0.20418750000000002,130.68,30.83,420.0,0.0,0.0,0,
2024-09-27 15:30:01,26.3,95,18.1,61.0,6.1,0.1731875,110.84,30.0,420.0,0.0,0.0,0,
2024-09-27 15:30:16,26.3,95,18.1,61.19,6.1,0.17603125,112.66,25.0,420.0,0.0,0.0,0,
2024-09-27 15:30:36,26.3,95,18.1,61.58,6.1,0.178875,114.48,27.5,420.0,0.0,0.0,0,
2024-09-27 15:30:52,26.3,95,18.1,61.78,6.1,0.178875,114.48,27.5,420.0,0.0,0.0,0,
2024-09-27 15:31:10,26.2,95,18.1,61.58,6.1,0.18170312500000002,116.29,32.5,420.0,0.0,0.0,0,
2024-09-27 15:31:28,26.4,95,18.1,61.88,6.1,0.18170312500000002,116.29,45.0,420.0,0.0,0.0,0,
2024-09-27 15:31:52,26.4,95,18.1,61.68,6.1,0.18170312500000002,116.29,48.33,420.0,0.0,0.0,0,
2024-09-27 15:32:08,26.4,95,18.1,61.58,6.1,0.18170312500000002,116.29,45.83,420.0,0.0,0.0,0,
2024-09-27 15:32:27,26.4,95,18.1,61.58,6.1,0.18170312500000002,116.29,56.67,420.0,0.0,0.0,0,
2024-09-27 15:32:45,26.4,95,18.1,61.39,6.1,0.178875,114.48,60.83,420.0,0.0,0.0,0,
2024-09-27 15:33:03,26.4,95,18.1,61.29,6.1,0.18170312500000002,116.29,60.83,420.0,0.0,0.0,0,
2024-09-27 15:33:19,26.4,95,18.2,61.49,6.1,0.18170312500000002,116.29,61.67,420.0,0.0,0.0,0,
2024-09-27 15:33:41,26.4,95,18.2,61.78,6.1,0.18170312500000002,116.29,56.67,420.0,0.0,0.0,0,
2024-09-27 15:33:57,26.4,95,18.1,61.39,6.1,0.18170312500000002,116.29,59.17,420.0,0.0,0.0,0,
2024-09-27 15:34:15,26.4,95,18.1,61.58,6.1,0.178875,114.48,71.67,420.0,0.0,0.0,0,
2024-09-27 15:34:33,26.4,95,18.1,61.39,6.1,0.18170312500000002,116.29,66.67,420.0,0.0,0.0,0,
2024-09-27 15:34:51,26.3,95,18.1,61.09,6.1,0.178875,114.48,50.0,420.0,0.0,0.0,0,
2024-09-27 15:35:15,26.4,95,18.1,61.29,6.1,0.17603125,112.66,45.83,420.0,0.0,0.0,0,
2024-09-27 15:35:31,26.3,95,18.1,62.17,6.1,0.178875,114.48,49.17,420.0,0.0,0.0,0,
2024-09-27 15:35:49,26.2,95,18.1,62.17,6.1,0.18170312500000002,116.29,47.5,420.0,0.0,0.0,0,
2024-09-27 15:36:07,26.2,95,18.2,62.17,6.1,0.18170312500000002,116.29,43.33,420.0,0.0,0.0,0,
2024-09-27 15:36:25,26.2,95,18.2,61.88,6.1,0.18170312500000002,116.29,46.67,420.0,0.0,0.0,0,
2024-09-27 15:36:43,26.2,95,18.2,62.85,6.1,0.18453124999999998,118.1,43.33,420.0,0.0,0.0,0,
2024-09-27 15:37:01,26.1,95,18.2,63.05,6.1,0.18170312500000002,116.29,45.0,420.0,0.0,0.0,0,
2024-09-27 15:37:20,26.1,95,18.2,63.44,6.1,0.178875,114.48,46.67,420.0,0.0,0.0,0,
2024-09-27 15:37:37,26.1,95,18.2,63.54,6.1,0.18170312500000002,116.29,46.67,420.0,0.0,0.0,0,
2024-09-27 15:37:56,26.2,95,18.2,64.22,6.1,0.18453124999999998,118.1,60.0,420.0,0.0,0.0,0,
